top - 22:26:16 up 49 min,  1 user,  load average: 4.32, 5.36, 5.51
Tasks: 187 total,   5 running, 182 sleeping,   0 stopped,   0 zombie
%Cpu(s): 17.6 us, 29.4 sy,  0.0 ni, 29.4 id,  5.9 wa,  0.0 hi, 17.6 si,  0.0 st 
MiB Mem :   3916.6 total,   3306.0 free,    616.2 used,    265.4 buff/cache     
MiB Swap:   2048.0 total,   1713.8 free,    334.2 used.   3300.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    702 root      20   0   17380   3516   3516 S   0.0   0.1   0:02.39 wpa_sup+
    721 root      20   0  392092   5512   4872 S   0.0   0.1   0:00.21 ModemMa+
    730 syslog    20   0  222508   3820   3308 S   0.0   0.1   0:01.25 rsyslogd
    822 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    828 root      20   0   38232   4260   4260 S   0.0   0.1   0:00.03 cupsd
    830 root      20   0  112256   4076   3948 S   0.0   0.1   0:00.05 unatten+
    835 root      20   0 1876016  24744  13388 S   0.0   0.6   0:50.69 contain+
    844 root      20   0  380084   4020   3892 S   0.0   0.1   0:00.13 lightdm
    848 lp        20   0   16832   2852   2852 S   0.0   0.1   0:00.00 dbus
    851 lp        20   0   16832   2956   2828 S   0.0   0.1   0:00.00 dbus
    852 lp        20   0   16832   2972   2844 S   0.0   0.1   0:00.00 dbus
    853 lp        20   0   16832   3036   2908 S   0.0   0.1   0:00.00 dbus
    859 root      20   0  335308  17796   6096 S   0.0   0.4   1:22.85 Xorg
    868 root      20   0    8704   1764   1764 S   0.0   0.0   0:00.00 agetty
    993 rtkit     21   1   22940   2652   2524 S   0.0   0.1   0:02.17 rtkit-d+
   1069 root      20   0  234276   4056   3928 S   0.0   0.1   0:00.12 lightdm
   1108 monitor   20   0   20560   6648   5752 S   0.0   0.2   0:00.47 systemd
   1109 monitor   20   0   21184   1784   1584 S   0.0   0.0   0:00.00 (sd-pam)
   1118 monitor    9 -11  118584   3940   3812 S   0.0   0.1   0:00.04 pipewire
   1120 monitor   20   0   97736   3536   3408 S   0.0   0.1   0:00.00 pipewire
   1121 monitor    9 -11  402848   4632   4504 S   0.0   0.1   0:00.10 wireplu+
   1122 monitor    9 -11  109660   4268   4140 S   0.0   0.1   0:00.01 pipewir+
   1123 monitor   20   0  316508   4224   4096 S   0.0   0.1   0:00.09 gnome-k+
   1130 monitor   20   0    9996   3704   3192 S   0.0   0.1   0:02.95 dbus-da+
   1152 monitor   20   0  340572   4728   4668 S   0.0   0.1   0:01.10 xfce4-s+
   1227 monitor   20   0  382832   3988   3860 S   0.0   0.1   0:00.02 at-spi-+
   1234 monitor   20   0    9556   3408   3152 S   0.0   0.1   0:01.40 dbus-da+
   1239 monitor   20   0  309792   4420   3908 S   0.0   0.1   0:01.33 xfconfd
   1245 monitor   20   0  236148   4100   3972 S   0.0   0.1   0:01.20 at-spi2+
   1254 monitor   20   0  955904   6220   5348 S   0.0   0.2   0:14.67 xfwm4
   1258 monitor   20   0  314160   4024   4024 S   0.0   0.1   0:00.02 gvfsd
   1271 monitor   20   0  305128   5488   4756 S   0.0   0.1   0:02.36 xfsetti+
   1275 root      20   0  316660   4896   4768 S   0.0   0.1   0:00.08 upowerd
   1281 monitor   20   0 1025248  12872  10620 S   0.0   0.3   0:03.72 xfce4-p+
   1286 monitor   20   0 1080512   5296   5256 S   0.0   0.1   0:18.77 Thunar
   1292 monitor   20   0  498104   5600   5168 S   0.0   0.1   0:03.46 xfdeskt+
   1295 monitor   20   0  536024   5188   5032 S   0.0   0.1   0:07.36 panel-1+
   1297 monitor   20   0  460784  10372   8200 S   0.0   0.3   0:05.43 panel-5+
   1300 monitor   20   0  459684   4592   4476 S   0.0   0.1   0:00.81 panel-6+
   1302 monitor   20   0  339844   4624   4440 S   0.0   0.1   0:00.58 panel-7+
   1303 monitor   20   0  386848   4528   4464 S   0.0   0.1   0:00.72 panel-8+
   1304 monitor   20   0  457036   4592   4512 S   0.0   0.1   0:01.15 panel-9+
   1326 monitor   20   0  418452   4504   4428 S   0.0   0.1   0:01.76 xfce4-n+
   1340 monitor   20   0   12764   1704   1564 S   0.0   0.0   0:00.65 xcape
   1347 monitor   20   0  303464   4968   4664 S   0.0   0.1   0:03.39 xfce4-s+
   1349 monitor   20   0  260092   4452   4324 S   0.0   0.1   0:00.86 polkit-+
   1355 monitor   20   0  922032   3604   3476 S   0.0   0.1   0:00.04 xiccd
   1376 monitor   20   0  260988   5308   4924 S   0.0   0.1   0:01.07 xfce4-p+
   1377 monitor   20   0  646696  11080   8856 S   0.0   0.3   0:04.54 nm-appl+
